,Price,Year,Mileage,City,State,Vin,Make,Model,General Model,New Car Price
0,21747,2016,20038,Fort Myers, FL,19UDE2F77GA006421,Acura,ILXAutomatic,ILX,25900
1,13995,2014,67261,Nashville, TN,19VDE1F35EE009147,Acura,ILX5-Speed,ILX,25900
2,14999,2015,42989,Duluth, GA,19VDE1F37FE000614,Acura,ILX5-Speed,ILX,25900
3,19000,2015,23779,Verona, NJ,19VDE1F36FE008882,Acura,ILX5-Speed,ILX,25900
4,21997,2016,21206,Ramsey, NJ,19UDE2F36GA020212,Acura,ILXAutomatic,ILX,25900
5,14994,2014,22266,Seffner, FL,19VDE1F70EE006336,Acura,ILX5-Speed,ILX,25900
6,17999,2015,36309,Concord, CA,19VDE1F52FE003809,Acura,ILX5-Speed,ILX,25900
7,26492,2017,4853,Houston, TX,19UDE2F77HA001396,Acura,ILXPremium,ILX,25900
8,12999,2013,88110,Glen Burnie, MD,19VDE1F71DE005288,Acura,ILX5-Speed,ILX,25900
9,23000,2017,10,Chicago, IL,19UDE2F32HA013582,Acura,ILXAutomatic,ILX,25900
10,11700,2013,87748,Wilkes-Barre, PA,19VDE1F39DE016312,Acura,ILX5-Speed,ILX,25900
11,22004,2016,30125,Duluth, GA,19UDE2F87GA000174,Acura,ILXAutomatic,ILX,25900
12,13499,2014,35037,West Covina, CA,19VDE1F32EE013995,Acura,ILX5-Speed,ILX,25900
13,16750,2015,57483,Citrus Heights, CA,19VDE1F32FE003145,Acura,ILX5-Speed,ILX,25900
14,14533,2013,68738,Shelby, MI,19VDE1F5XDE008379,Acura,ILX5-Speed,ILX,25900
15,11890,2014,77898,Greatneck, NY,19VDE1F31EE014765,Acura,ILX5-Speed,ILX,25900
16,25998,2017,1666,San Juan, TX,19UDE2F38HA010900,Acura,ILXAutomatic,ILX,25900
17,15994,2015,54814,Raleigh, NC,19VDE1F3XFE000560,Acura,ILX5-Speed,ILX,25900
18,14995,2013,42678,Memphis, TN,19VDE1F51DE016158,Acura,ILX5-Speed,ILX,25900
19,16995,2015,49643,Philadelphia, PA,19VDE1F32FE002724,Acura,ILX5-Speed,ILX,25900
20,189000,2017,2535,Salt Lake City, UT,19UNC1B06HY000194,Acura,NSXCoupe,NSX,157500
21,169929,2017,1522,Hoffman Estates, IL,19UNC1B09HY000335,Acura,NSXCoupe,NSX,157500
22,179000,2017,76,Costa Mesa, CA,19UNC1B03HY000072,Acura,NSXCoupe,NSX,157500
23,169777,2017,377,Tempe, AZ,19UNC1B00HY000191,Acura,NSXCoupe,NSX,157500
24,179000,2017,1672,Chicago, IL,19UNC1B05HY000705,Acura,NSXCoupe,NSX,157500
25,162500,2017,119,Sarasota, FL,19UNC1B08HY000729,Acura,NSXCoupe,NSX,157500
26,188300,2017,547,Peoria, AZ,19UNC1B03HY000363,Acura,NSXCoupe,NSX,157500
27,165997,2017,532,Pelham, AL,19UNC1B06HY000793,Acura,NSXCoupe,NSX,157500
28,165399,2017,52,Tucson, AZ,19UNC1B02HY000435,Acura,NSXCoupe,NSX,157500
29,185995,2017,75,Tukwila, WA,19UNC1B05HY000557,Acura,NSXCoupe,NSX,157500
30,169998,2017,197,Wichita, KS,19UNC1B05HY000462,Acura,NSXCoupe,NSX,157500
31,194000,2017,2500,Littleton, CO,19UNC1B00HY000062,Acura,NSXCoupe,NSX,157500
32,178999,2017,611,Louisville, KY,19UNC1B03HY000489,Acura,NSXCoupe,NSX,157500
33,164837,2017,150,Woodside, NY,19UNC1B06HY000180,Acura,NSXCoupe,NSX,157500
34,165888,2017,374,Thousand Oaks, CA,19UNC1B08HY000259,Acura,NSXCoupe,NSX,157500
35,173998,2017,543,Palatine, IL,19UNC1B03HY000086,Acura,NSXCoupe,NSX,157500
36,89000,2002,53349,Springfield, NJ,JH4NA21662T000019,Acura,NSXManual,NSX,157500
37,179360,2017,10,Langhorne, PA,19UNC1B08HY000374,Acura,NSXCoupe,NSX,157500
