,City,Make,Mileage,Model,Price,State,Vin,Year
0,Pacoima,Audi,73495.0,A62.0T,18988.0, CA,WAUCFBFC0DN133677,2013.0
1,Colorado Springs,Audi,36159.0,A42.0T,21699.0, CO,WAUFFAFL8EN005714,2014.0
2,Portsmouth,Audi,108658.0,A42dr,8499.0, VA,WAUAF48H39K000612,2009.0
3,Melbourne,Audi,2799.0,R82dr,95993.0, FL,WUASUAFG1BN003084,2011.0
4,Littleton,Audi,23770.0,Q73.0TDI,47950.0, CO,WA1LMAFE2FD027965,2015.0
5,Tucson,Audi,64951.0,Q5quattro,20980.0, AZ,WA1DKAFP0BA050135,2011.0
6,Miami,Audi,43870.0,S4quattro,28999.0, FL,WAUBGAFL4EA156892,2014.0
7,Evanston,Audi,9105.0,Q3quattro,31577.0, IL,WA1EFCFS7GR023452,2016.0
8,San Juan,Audi,6533.0,A7Competition,74900.0, TX,WAUW3BFCXHN009847,2017.0
9,N. Miami Beach,Audi,18699.0,A42.0T,19999.0, FL,WAUAFAFL7EA073066,2014.0
10,Sarasota,Audi,8648.0,A52.0T,30988.0, FL,WAULFAFRXEA073785,2014.0
11,South Easton,Audi,36044.0,A8,39890.0, MA,WAUR2AFD0EN011525,2014.0
12,Carrollton,Audi,81796.0,A42007,8995.0, TX,WAUBF48H97K020798,2007.0
13,Raleigh,Audi,129393.0,A44dr,6395.0, NC,WAUDF78E38A019668,2008.0
14,San Antonio,Audi,51335.0,A3Sedan,18949.0, TX,WAUCCGFF4F1074529,2015.0
15,Broomfield,Audi,54632.0,S4quattro,39000.0, CO,WAUBGAFL8FA130040,2015.0
16,Morganton,Audi,26556.0,Q52.0T,32000.0, NC,WA1LFAFP1FA037349,2015.0
17,Long Island City,Audi,26247.0,A62.0T,37995.0, NY,WAUGFAFC0GN020067,2016.0
18,Hillsboro,Audi,70803.0,A34dr,14999.0, OR,WAUBEAFM1CA106477,2012.0
19,Doral,Audi,61304.0,SQ5quattro,32895.0, FL,WA1CGAFP9EA078288,2014.0
