Model,Month,Month LY,Change,YTD,YTD LY,YTD Change
Toyota Camry,"29,093","43,331",-32.86,"343,439","387,081",-11.27
Honda Civic,"26,384","31,406",-15.99,"325,760","377,286",-13.66
Toyota Corolla,"25,439","19,969",27.39,"303,732","329,196",-7.74
Honda Accord,"28,627","22,115",29.45,"291,071","322,655",-9.79
Nissan Sentra,"17,567","16,834",4.35,"213,046","218,451",-2.47
Nissan Altima,"17,064","18,199",-6.24,"209,146","254,996",-17.98
Hyundai Elantra,"15,076","21,350",-29.39,"200,415","198,210",1.11
Ford Fusion,"16,052","17,444",-7.98,"173,600","209,623",-17.18
Chevrolet Malibu,"12,522","16,628",-24.69,"144,542","185,857",-22.23
Chevrolet Cruze,"11,128","13,406",-16.99,"142,618","184,751",-22.81
Tesla Model 3,"25,250","1,060","2,282.08","140,317","1,667","8,317.34"
Ford Focus,"3,661","11,237",-67.42,"114,045","158,385",-28
Hyundai Sonata,"8,705","8,508",2.32,"105,118","131,803",-20.25
Kia Soul,"10,128","7,610",33.09,"104,709","115,712",-9.51
Kia Forte,"7,709","7,922",-2.69,"101,890","117,596",-13.36
Kia Optima,"7,809","7,081",10.28,"101,603","107,493",-5.48
Volkswagen Jetta,"10,261","7,233",41.86,"90,794","115,807",-21.6
Toyota Prius Family,"6,351","9,482",-33.02,"87,590","108,661",-19.39
Dodge Charger,"7,293","6,830",6.78,"80,226","88,351",-9.2
Subaru Impreza,"5,880","8,037",-26.84,"76,400","86,043",-11.21
Ford Mustang,"4,392","7,714",-43.06,"75,842","81,866",-7.36
Nissan Versa,"6,735","7,125",-5.47,"75,809","106,772",-29
Dodge Challenger,"4,156","4,508",-7.81,"66,716","64,537",3.38
Mazda 3,"5,277","5,669",-6.91,"64,638","75,018",-13.84
Chevrolet Impala,"4,256","8,201",-48.1,"56,557","75,877",-25.46
Mercedes-Benz C-Class,"6,799","6,500",4.6,"54,829","77,446",-29.2
Ford Fiesta,"4,309","3,657",17.83,"51,730","46,249",11.85
