Price,Year,Mileage,City,State,Vin,Make,Model
2047,2001,243893,Langhorne, PA,19UUA56671A005006,Acura,TLAutomatic
5495,2008,241901,Bloomingdale, NJ,19UUA66248A010886,Acura,TL4dr
4995,2008,230155,Wayne, MI,5J8TB18228A014525,Acura,RDX4WD
2500,2000,225000,Waseca, MN,19UUA5670YA039677,Acura,TL3.2
4500,2002,220725,El Paso, TX,19UUA56842A021828,Acura,TLType-S
5999,2005,220000,Ellensburg, WA,19UUA66215A007682,Acura,TLAutomatic
5485,2002,208542,Houston, TX,19UUA56672A027864,Acura,TLAutomatic
4999,2003,204667,Longmont, CO,19UUA56643A001563,Acura,TLAutomatic
6488,2008,202003,Rochester, MN,5J8TB18278A001253,Acura,RDX4WD
6495,2003,196246,Ridgewood, NY,19UUA56953A015434,Acura,TLType-S
3900,2000,195185,Boaz, AL,19UUA5678YA065136,Acura,TLAutomatic
7888,2008,190687,San Mateo, CA,5J8TB18528A018620,Acura,RDX4WD
5500,2005,188638,El Paso, TX,JH4CL96945C013398,Acura,TSXAutomatic
6905,2000,180153,Louisville, KY,19UUA5665YA044090,Acura,TLAutomatic
7844,2007,179672,Richmond, VA,5J8TB18527A016297,Acura,RDX4WD
8995,2005,177129,Durham, NC,19UUA66235A051358,Acura,TLAutomatic
3950,2006,175405,Fort Gratiot, MI,JH4DC53896S002185,Acura,RSXManual
4995,2005,161608,Memphis, TN,JH4DC54825S000064,Acura,RSXAutomatic
3995,2003,154634,Lafayette, IN,19UYA42633A007307,Acura,CLType-S
4934,2006,153998,Elgin, IL,JH4DC54846S009110,Acura,RSXAutomatic
6995,2004,152724,Tucson, AZ,JH4CL96864C042620,Acura,TSXAutomatic
6000,2004,152429,Pasadena, CA,JH4DC53094S009452,Acura,RSXType-S
4975,2005,150948,Boyertown, PA,2HNYD18265H500146,Acura,MDX4WD
10095,2010,149376,Midway City, CA,JH4CU2F66AC035777,Acura,TSX4dr
7388,2006,147389,Williamsburg, VA,JH4KB16506C007984,Acura,RLAutomatic
3995,2003,147306,Houston, TX,JH4DC53013C004044,Acura,RSXType-S
4495,2005,147212,Jersey City, NJ,JH4KB16575C001064,Acura,RLAutomatic
3999,2003,146975,Dallas, TX,19UYA42673A008069,Acura,CLType-S
3995,2004,145332,Tampa, FL,JH4KA96614C001859,Acura,RLAutomatic
7000,2007,141670,Stockton, CA,JH4KB16617C004408,Acura,RL4dr
7995,2006,141257,Spokane, WA,JH4DC530X6S000147,Acura,RSXType-S
7500,2005,140238,Ocala, FL,JH4DC548X5S012558,Acura,RSXAutomatic
7965,2006,138815,Sacramento, CA,JH4CL96806C028506,Acura,TSXAutomatic
4900,2001,137800,Tucson, AZ,19UYA42601A021341,Acura,CLType-S
7988,2006,137097,National City, CA,JH4DC54896S010558,Acura,RSXAutomatic
7550,2005,136978,Phoenix, AZ,JH4CL95975C031833,Acura,TSXManual
4250,2003,136500,East Landsdowne, PA,JH4KA96543C001473,Acura,RLAutomatic
5900,2006,135664,Pleasanton, CA,2HNYD18896H517951,Acura,MDX4WD
5995,2006,134880,Ridgewood, NY,2HNYD18236H542159,Acura,MDX4WD
6537,2005,134783,Harrisonburg, VA,JH4KB16505C005621,Acura,RLAutomatic
6929,2007,134239,Hoffman Estates, IL,JH4CL96977C002625,Acura,TSX4dr
6950,2004,133921,Raleigh, NC,JH4DC53074S009515,Acura,RSXType-S
9481,2006,132805,Cookeville, TN,JH4DC53036S020322,Acura,RSXType-S
7383,2004,131322,Edmonds, WA,JH4DC54844S007564,Acura,RSXAutomatic
7000,2005,130274,El Cerrito, CA,JH4DC54855S011902,Acura,RSXAutomatic
8874,2007,129375,Houston, TX,JH4CL96947C007295,Acura,TSX4dr
6995,2006,128818,Knoxville, TN,JH4KB165X6C009905,Acura,RLAutomatic
11576,2010,128642,Tacoma, WA,JH4CU2F60AC015640,Acura,TSX4dr
7991,2006,128307,San Antonio, TX,2HNYD18616H526173,Acura,MDX4WD
6293,2005,126866,Florence, KY,JH4KB16515C001013,Acura,RLAutomatic
7997,2006,126548,Fort Lauderdale, FL,JH4DC53026S012969,Acura,RSXType-S
10100,2008,126214,Portland, OR,JH4KB16678C001126,Acura,RL4dr
10500,2010,126071,Greensboro, NC,JH4CU2F62AC030513,Acura,TSX4dr
11988,2007,124720,Alameda, CA,5J8TB18557A007142,Acura,RDX4WD
4999,2003,124498,Bell, CA,19UYA42653A005591,Acura,CLType-S
16512,2015,124120,Mobile, AL,19UUB2F31FA002451,Acura,TLXFWD
7995,2007,123794,Carrollton, TX,JH4KB16627C004384,Acura,RL4dr
5988,2005,122945,Duluth, GA,JH4KB16525C005524,Acura,RLAutomatic
7988,2008,122853,Knoxville, TN,JH4CL95808C005750,Acura,TSX4dr
7695,2006,122268,Campbell, CA,JH4KB165X6C000816,Acura,RLAutomatic
5275,2001,122250,WOODSBORO, MD,19UYA42611A020876,Acura,CLType-S
5895,2003,122192,Hackettstown, NJ,2HNYD18753H515651,Acura,MDX4WD
4995,2003,120732,Jacksonville, FL,19UYA42693A011443,Acura,CLType-S
7495,2006,120400,Chantilly, VA,2HNYD18826H524997,Acura,MDX4WD
6998,2006,120107,Denville, NJ,2HNYD18636H550510,Acura,MDX4WD
8995,2008,119813,Loganville, GA,JH4KB16698C004514,Acura,RL4dr
16993,2013,119170,Wappingers Falls, NY,5J8TB4H5XDL005680,Acura,RDXAWD
8991,2009,118113,San Antonio, TX,JH4CU26699C036255,Acura,TSX4dr
9849,2008,118040,Centennial, CO,JH4KB16608C004675,Acura,RL4dr
16997,2013,117610,San Antonio, TX,5J8TB3H58DL016459,Acura,RDXwith
6995,2005,117593,Billerica, MA,2HNYD18215H553014,Acura,MDX4WD
8990,2002,117313,Boulder, CO,JH4DC53022C038010,Acura,RSXType-S
7500,2005,116946,Westmont, IL,2HNYD18605H553119,Acura,MDX4WD
8995,2007,116375,Fayetteville, NC,JH4KB16537C001906,Acura,RL4dr
6999,2005,115865,Spotsylvania, VA,JH4KB16575C005809,Acura,RLAutomatic
8099,2006,114757,Baltimore, MD,2HNYD18886H536250,Acura,MDX4WD
3950,2002,114350,Spotsylvania, VA,JH4KA965X2C005669,Acura,RLAutomatic
15595,2011,113403,Chattanooga, TN,5J8TB1H27BA005780,Acura,RDXAWD
5999,2002,112619,Sacramento, CA,JH4DC548X2C015868,Acura,RSXAutomatic
8000,2005,112453,Richmond, VA,JH4KB16505C000290,Acura,RLAutomatic
13290,2011,112369,Highland Park, IL,JH4KB2F64BC000951,Acura,RL4dr
11995,2009,112182,Orlando, FL,JH4CU26699C014143,Acura,TSX4dr
5777,2004,112114,Bristol, WI,2HNYD18284H503046,Acura,MDX4WD
8299,2007,111899,Hollywood, FL,2HNYD282X7H537838,Acura,MDX4WD
7995,2005,111294,Jersey City, NJ,JH4KB16575C019502,Acura,RLAutomatic
5998,2004,111225,Doraville, GA,JH4KA96614C002168,Acura,RLAutomatic
5993,2002,110353,Beaverton, OR,19UYA42792A005472,Acura,CLType-S
11995,2011,110111,N. Miami Beach, FL,2HNYD2H27BH530189,Acura,MDXAWD
7800,2005,109958,Alhambra, CA,JH4KB16505C004615,Acura,RLAutomatic
10995,2008,109628,Sneads Ferry, NC,JH4CL968X8C004796,Acura,TSX4dr
6790,2003,109564,Edgewater Park, NJ,19UYA42643A013259,Acura,CLType-S
14095,2007,109196,Round Rock, TX,5J8TB18227A017570,Acura,RDX4WD
14695,2009,108215,Charlotte, NC,5J8TB18539A001441,Acura,RDXAWD
6995,2002,107876,Fresno, CA,JH4DC53862C010569,Acura,RSXManual
14095,2008,107810,Lombard, IL,5J8TB18518A014588,Acura,RDX4WD
16794,2012,106445,Tempe, AZ,2HNYB1H40CH500647,Acura,ZDXAWD
19995,2013,105949,Seattle, WA,5J8TB4H51DL008192,Acura,RDXAWD
12995,2007,105806,Bakersfield, CA,5J8TB18267A009438,Acura,RDX4WD
10999,2009,105013,Westport, CT,2HNYD28299H513579,Acura,MDXAWD
11300,2010,103976,Carmel, IN,2HNYD2H20AH504273,Acura,MDXAWD
10900,2009,102862,Philadelphia, PA,JH4KB26649C000054,Acura,RL4dr
8995,2004,102459,Buena Park, CA,JH4CL96814C009590,Acura,TSXAutomatic
12491,2012,102426,Kennesaw, GA,JH4CU2F45CC000388,Acura,TSXAutomatic
5995,2002,102260,Vernon, CT,2HNYD18852H507167,Acura,MDX4WD
5675,2003,101432,Hasbrouck Heights, NJ,JH4KA96533C001125,Acura,RLAutomatic
14695,2012,100018,Live Oak, TX,JH4CU2F66CC026547,Acura,TSXAutomatic
9995,2008,99705,Vernon, CT,JH4KB16628C004130,Acura,RL4dr
9989,2009,99687,Atlanta, GA,JH4CU26669C033474,Acura,TSX4dr
18990,2014,99389,Morrisville, NC,5J8TB4H56EL013602,Acura,RDXAWD
15695,2009,99376,Houston, TX,5J8TB18529A001804,Acura,RDXAWD
7595,2005,99258,Allentown, PA,JH4KB16505C000581,Acura,RLAutomatic
12822,2010,99063,Peoria, AZ,JH4KB2F68AC002796,Acura,RL4dr
11857,2007,98861,Clearwater, FL,2HNYD28387H542562,Acura,MDX4WD
10987,2007,98844,Columbus, OH,2HNYD28827H002863,Acura,MDX4WD
9250,2006,98746,Falls Church, VA,2HNYD18246H548519,Acura,MDX4WD
10988,2007,98563,Winston-Salem, NC,JH4KB16577C002444,Acura,RL4dr
19290,2013,97903,Fairfield, OH,5J8TB4H56DL011251,Acura,RDXAWD
5839,2002,97765,Honolulu, HI,2HNYD18622H000371,Acura,MDX4WD
20000,2014,97763,Merriam, KS,5J8TB4H50EL009173,Acura,RDXAWD
12800,2009,97495,Tulsa, OK,JH4KB26609C000651,Acura,RL4dr
7995,2006,97457,Akron, OH,JH4KB16576C010283,Acura,RLAutomatic
10995,2009,97374,Metairie, LA,JH4CU25699C009008,Acura,TSX4dr
6421,2003,97171,Rockville, MD,JH4KA96623C002632,Acura,RLAutomatic
7995,2002,96789,Fontana, CA,JH4DC54822C003102,Acura,RSXAutomatic
9886,2006,96572,Schaumburg, IL,2HNYD18876H524039,Acura,MDX4WD
7985,2004,96375,Philadelphia, PA,2HNYD18274H551010,Acura,MDX4WD
13987,2009,96343,Roseville, CA,JH4CU26659C027066,Acura,TSX4dr
12995,2008,95952,Omaha, NE,2HNYD28478H529697,Acura,MDX4WD
11900,2006,95530,Orlando, FL,JH4DC53026S014480,Acura,RSXType-S
10792,2010,95415,Tampa, FL,JH4CU2F62AC018376,Acura,TSX4dr
8995,2007,94428,Lumberton, NJ,JH4CL96877C018833,Acura,TSX4dr
20188,2014,93989,Fort Worth, TX,5J8TB3H54EL007498,Acura,RDXFWD
4495,1998,93969,Danbury, CT,19UYA2251WL010730,Acura,CLAutomatic
20977,2013,93889,Merriam, KS,5J8TB4H50DL000259,Acura,RDXAWD
8700,2005,93244,North Hollywood, CA,JH4KB16585C017726,Acura,RLAutomatic
8944,2006,92940,WESLEY CHAPEL, FL,2HNYD18816H503834,Acura,MDX4WD
19991,2013,92734,Vancouver, WA,5J8TB4H59DL006206,Acura,RDXAWD
11250,2008,92680,Franklin Square, NY,2HNYD28258H528501,Acura,MDX4WD
19982,2013,92579,Logan, UT,5J8TB4H58DL012384,Acura,RDXAWD
14446,2012,92344,Langhorne, PA,19UUA8F58CA007794,Acura,TL2WD
19990,2013,91997,Overland Park, KS,5J8TB4H3XDL016855,Acura,RDXAWD
11995,2008,91799,Honolulu, HI,19UUA66278A012700,Acura,TL4dr
